"p","r_quantile"
-0.515,0.604663192656859
-0.514,0.614362326120467
-0.513,0.62737010535882
-0.512,0.601485827863838
-0.511,0.611227930574947
-0.51,0.625804188324125
-0.509,0.639764310645457
-0.508,0.573591136498034
-0.507,0.62570566514558
-0.506,0.624133130304409
-0.505,0.640025445168016
-0.504,0.609942167211861
-0.503,0.617954801067494
-0.502,0.617592687455761
-0.501,0.617637569252815
-0.5,0.648065709559527
-0.499,0.62884376844952
-0.498,0.628759755449014
-0.497,0.644852881988888
-0.496,0.628322062785662
-0.495,0.652844791795546
-0.494,0.629929759764524
-0.493,0.638944079584355
-0.492,0.639613620259458
-0.491,0.656643690304847
-0.49,0.654234581647028
-0.489,0.656720724691441
-0.488,0.64171099869692
-0.487,0.667958189741644
-0.486,0.644255443592374
-0.485,0.635763879687967
-0.484,0.648762707148167
-0.483,0.657131672930642
-0.482,0.666400875082727
-0.481,0.666778633084318
-0.48,0.647408065622355
-0.479,0.672688610318194
-0.478,0.674138531848923
-0.477,0.66723133852714
-0.476,0.659723996185062
-0.475,0.669698036703445
-0.474,0.65777655765549
-0.473,0.652575840960132
-0.472,0.6671131188886
-0.471,0.64963461477255
-0.47,0.699052388637242
-0.469,0.664321959047702
-0.468,0.674557132146924
-0.467,0.653236245194684
-0.466,0.654395221157691
-0.465,0.657434752525148
-0.464,0.678377314830141
-0.463,0.665722853462118
-0.462,0.657803358277328
-0.461,0.692890412301406
-0.46,0.678805881626249
-0.459,0.688613479717909
-0.458,0.64398671672593
-0.457,0.692896549765109
-0.456,0.684902898843074
-0.455,0.645904428411816
-0.454,0.681944501479864
-0.453,0.691178148395429
-0.452,0.686392996953736
-0.451,0.698655099708697
-0.45,0.674989889320857
-0.449,0.666232366517932
-0.448,0.696394719035445
-0.447,0.67078656821052
-0.446,0.699144642732945
-0.445,0.686412908318471
-0.444,0.679029943853482
-0.443,0.69902682542643
-0.442,0.694916053002294
-0.441,0.697259836582133
-0.44,0.700616996460747
-0.439,0.70666783014252
-0.438,0.710160382103491
-0.437,0.711840606143472
-0.436,0.697884564024593
-0.435,0.693919613977036
-0.434,0.706219061329323
-0.433,0.713896255084166
-0.432,0.694668773112748
-0.431,0.703880779475455
-0.43,0.701384454744417
-0.429,0.69482271824806
-0.428,0.705613916940636
-0.427,0.71905961222444
-0.426,0.720507561108111
-0.425,0.692872520067951
-0.424,0.709160308620387
-0.423,0.709795037582627
-0.422,0.686079463360026
-0.421,0.716731489533402
-0.42,0.704473236259405
-0.419,0.702901132776991
-0.418,0.70242175991675
-0.417,0.704857399516566
-0.416,0.710805345104263
-0.415,0.717848369265485
-0.414,0.71250330064792
-0.413,0.717396299691983
-0.412,0.71477775899796
-0.411,0.685792829937773
-0.41,0.701304663436767
-0.409,0.727466631328007
-0.408,0.724748819210374
-0.407,0.712832196816613
-0.406,0.713851674854099
-0.405,0.705285404273402
-0.404,0.705253374028664
-0.403,0.719820311873485
-0.402,0.724661016407198
-0.401,0.70426063285397
-0.4,0.727118572291174
-0.399,0.704588129511567
-0.398,0.715082729430794
-0.397,0.719322289217767
-0.396,0.710852622097648
-0.395,0.707689953501349
-0.394,0.714029336361427
-0.393,0.722841461238104
-0.392,0.741249518244296
-0.391,0.726843111952121
-0.39,0.721124120063025
-0.389,0.727705757906582
-0.388,0.741152905194408
-0.387,0.726403255872136
-0.386,0.760766401093079
-0.385,0.737775542153926
-0.384,0.72907565323365
-0.383,0.728719418097546
-0.382,0.725432977894134
-0.381,0.752264754842083
-0.38,0.75184941846825
-0.379,0.745956004104121
-0.378,0.733982531681385
-0.377,0.726701074979578
-0.376,0.754597123138997
-0.375,0.762675266493613
-0.374,0.730209116234676
-0.373,0.745299284036638
-0.372,0.746531104939157
-0.371,0.744819513276989
-0.37,0.751176970830933
-0.369,0.756803396078825
-0.368,0.75009677790751
-0.367,0.741058944853093
-0.366,0.737767765632275
-0.365,0.741141371711413
-0.364,0.731233243692241
-0.363,0.766045391093968
-0.362,0.753569479042138
-0.361,0.759125292192822
-0.36,0.75556221493359
-0.359,0.77268249832373
-0.358,0.757617560929595
-0.357,0.738204527448333
-0.356,0.755630539949478
-0.355,0.753674259054844
-0.354,0.743473937961715
-0.353,0.759785764743316
-0.352,0.756320955978914
-0.351,0.757251536599517
-0.35,0.764076014032004
-0.349,0.746560479966204
-0.348,0.753196867790372
-0.347,0.767523717431974
-0.346,0.763731073711778
-0.345,0.768390139523198
-0.344,0.756065316022613
-0.343,0.763408768787747
-0.342,0.764207001179155
-0.341,0.75270522379613
-0.34,0.759266965090792
-0.339,0.761586259087929
-0.338,0.75596466383794
-0.337,0.758234619247039
-0.336,0.771601111805604
-0.335,0.770699701539316
-0.334,0.770730904117552
-0.333,0.778342724348052
-0.332,0.765828829237029
-0.331,0.77998805338545
-0.33,0.778330785093459
-0.329,0.772640138206031
-0.328,0.775589442587638
-0.327,0.779692878473702
-0.326,0.771026412586066
-0.325,0.771892423963497
-0.324,0.774451678267942
-0.323,0.784324924699378
-0.322,0.781706972371842
-0.321,0.772993503307255
-0.32,0.779185634948754
-0.319,0.792949008783535
-0.318,0.777167045270255
-0.317,0.774075826491728
-0.316,0.785242639397217
-0.315,0.773721828825752
-0.314,0.784744027937922
-0.313,0.785607583019228
-0.312,0.768543888739786
-0.311,0.784786260430219
-0.31,0.782342676529358
-0.309,0.791548463862346
-0.308,0.806898530803869
-0.307,0.791911926643675
-0.306,0.791442979023283
-0.305,0.784196634235903
-0.304,0.782683063968103
-0.303,0.783378789769814
-0.302,0.785357167259409
-0.301,0.769925881966016
-0.3,0.784296157956787
-0.299,0.797141290325197
-0.298,0.766504839399216
-0.297,0.7766618100454
-0.296,0.79205353202302
-0.295,0.802547343704387
-0.294,0.79889638520623
-0.293,0.794103290428064
-0.292,0.802476170403069
-0.291,0.793550097937272
-0.29,0.78965495461398
-0.289,0.792910782512829
-0.288,0.793462757505372
-0.287,0.794274009493109
-0.286,0.793972285536592
-0.285,0.80564705825789
-0.284,0.802456328824244
-0.283,0.795932843367919
-0.282,0.78959845692079
-0.281,0.806329479198227
-0.28,0.802570885343687
-0.279,0.806177388252513
-0.278,0.80182855130851
-0.277,0.8016634299407
-0.276,0.789697043901399
-0.275,0.80637142008425
-0.274,0.786603226677604
-0.273,0.805597451997789
-0.272,0.794383447005845
-0.271,0.795430866616071
-0.27,0.807629096806941
-0.269,0.80487702583229
-0.268,0.798393550096943
-0.267,0.814107220455094
-0.266,0.812894260370729
-0.265,0.803074331706246
-0.264,0.808251376764696
-0.263,0.797182340561846
-0.262,0.809767923588434
-0.261,0.801478016004614
-0.26,0.802454633366254
-0.259,0.810224081978502
-0.258,0.813548285157427
-0.257,0.804017309057222
-0.256,0.812976291171442
-0.255,0.806767578485053
-0.254,0.809604362320646
-0.253,0.826004257141147
-0.252,0.826264300419916
-0.251,0.808462858836974
-0.25,0.815393275314983
-0.249,0.821205346196896
-0.248,0.815234679516865
-0.247,0.816723322920377
-0.246,0.810085479650121
-0.245,0.812238700954484
-0.244,0.818383932654699
-0.243,0.8219763851466
-0.242,0.803726799051011
-0.241,0.823169950361616
-0.24,0.829598070759442
-0.239,0.809397031905197
-0.238,0.824315325171257
-0.237,0.813540698247634
-0.236,0.820507107806675
-0.235,0.823983038650938
-0.234,0.821152771385282
-0.233,0.825884243684852
-0.232,0.832274639138175
-0.231,0.822204088572423
-0.23,0.814370667073496
-0.229,0.830311945601334
-0.228,0.813771358409549
-0.227,0.834248355378223
-0.226,0.806375854527221
-0.225,0.844404808753601
-0.224,0.821760868460377
-0.223,0.834842198120283
-0.222,0.836912140355478
-0.221,0.82836981272329
-0.22,0.828141843995503
-0.219,0.83066743990794
-0.218,0.832380231005435
-0.217,0.830419731464086
-0.216,0.814818397965883
-0.215,0.833300104462283
-0.214,0.833290346019835
-0.213,0.831371859266121
-0.212,0.835953487008535
-0.211,0.833009923059972
-0.21,0.824812793961271
-0.209,0.828800993504178
-0.208,0.823176729934817
-0.207,0.832472748624024
-0.206,0.835829230151072
-0.205,0.832668839991035
-0.204,0.830077580171326
-0.203,0.835675352582287
-0.202,0.830058086348581
-0.201,0.835479172497989
-0.2,0.83418705740503
-0.199,0.830922585787309
-0.198,0.833210121825946
-0.197,0.856306284224927
-0.196,0.831480481480175
-0.195,0.839643579973533
-0.194,0.845239860566082
-0.193,0.843538547278377
-0.192,0.832803117778616
-0.191,0.848168896129766
-0.19,0.844366008024362
-0.189,0.83320751723317
-0.188,0.850271186125492
-0.187,0.850201168326877
-0.186,0.838794106362328
-0.185,0.847143540739566
-0.184,0.840834850286642
-0.183,0.840980699045347
-0.182,0.862010932223624
-0.181,0.838728225331119
-0.18,0.844900295946178
-0.179,0.845886639786827
-0.178,0.845778162162089
-0.177,0.850925175639723
-0.176,0.849475777181566
-0.175,0.836164722441495
-0.174,0.842031052261461
-0.173,0.853234885272988
-0.172,0.847007071417241
-0.171,0.84524900678281
-0.17,0.83449152189914
-0.169,0.854369122619402
-0.168,0.845093305908258
-0.167,0.853737434213917
-0.166,0.855535255306414
-0.165,0.848200818356861
-0.164,0.851921451618307
-0.163,0.850428482053982
-0.162,0.840451787201969
-0.161,0.835336165651962
-0.16,0.858465178073042
-0.159,0.859675254253383
-0.158,0.849127800694582
-0.157,0.847402195821443
-0.156,0.852071505562366
-0.155,0.84102156637356
-0.154,0.851125677617515
-0.153,0.848888383616526
-0.152,0.860428465110976
-0.151,0.858883142342951
-0.15,0.845443721505116
-0.149,0.844010296442452
-0.148,0.851289016837428
-0.147,0.855782575021486
-0.146,0.854932675592175
-0.145,0.86023707852618
-0.144,0.863888197599998
-0.143,0.854540902326015
-0.142,0.853860108073707
-0.141,0.871872823635053
-0.14,0.865681186762183
-0.139,0.852009070676002
-0.138,0.86493338978447
-0.137,0.865982527630668
-0.136,0.861663982246161
-0.135,0.864995578328928
-0.134,0.867714957710524
-0.133,0.857962470260296
-0.132,0.857848323210474
-0.131,0.862606136786865
-0.13,0.852892162003153
-0.129,0.855896882444097
-0.128,0.869253132045381
-0.127,0.860113458253644
-0.126,0.86641686653697
-0.125,0.864676646927899
-0.124,0.866170694389723
-0.123,0.866327730390535
-0.122,0.856084563752105
-0.121,0.872077129709601
-0.12,0.871234696859924
-0.119,0.855331281211434
-0.118,0.870456038528414
-0.117,0.865627262865607
-0.116,0.85733881129407
-0.115,0.873767956953212
-0.114,0.865681580677666
-0.113,0.862933938020923
-0.112,0.867081708250102
-0.111,0.867167708999414
-0.11,0.879860547902205
-0.109,0.868467857026543
-0.108,0.872626619996046
-0.107,0.854731768100355
-0.106,0.87550981667782
-0.105,0.876735216295917
-0.104,0.86858352993558
-0.103,0.87033501527365
-0.102,0.873143099603431
-0.101,0.879148419555995
-0.1,0.870864103191405
-0.099,0.867282457744577
-0.098,0.873778245496071
-0.097,0.881458506767145
-0.096,0.87584354555209
-0.095,0.87361284255385
-0.094,0.875004450866226
-0.093,0.868385421462509
-0.092,0.875342509973013
-0.091,0.873912019205445
-0.09,0.87382083312921
-0.089,0.875634549576924
-0.088,0.882243462362541
-0.087,0.869765415879011
-0.086,0.883675495815278
-0.085,0.883747007859428
-0.084,0.880640075966624
-0.083,0.874201231946353
-0.082,0.867679884160647
-0.081,0.882956413783389
-0.08,0.877839561131815
-0.079,0.882817890161773
-0.078,0.882149630320613
-0.077,0.873987126193506
-0.076,0.874316918001548
-0.075,0.879875511779215
-0.074,0.880260569485134
-0.073,0.884590904900851
-0.072,0.886688223693246
